ID,Q20,valid_10_3min,valid_10_5min,valid_8_3min,valid_8_5min,valid_6_3min,valid_6_5min,Q21,Q595,state,urban,Q594,Q1525,Q23,Q5,Q8,Q9,Q1523,Q1524,Q1081_1_1,Q1081_2_1,Q1081_3_1,Q1069_1,Q1069_9,Q1069_6,Q1069_7,Q1069_8,Q1069_10,Q1069_11,Q1069_12,Q1069_13,Q1026_1,Q1026_9,Q1026_6,Q1026_7,Q1026_8,Q1026_10,Q1026_11,Q1026_12,Q1026_13,Q1076,Q1091,Q1077,Q1092,Q1078,Q1073,Q1080,Q1139,Q1141,Q1143,Q1145,Q1506,Q1507,Q1515,Q1516,Q1518,Q1519,Q1521,Q1522,Q1112,Q1130,Q1114,Q1115,Q1129,Q1147,Q1149,Q1150,Q1151,Q1152,fish_Y,Q1071,meals_Y,fish_BY,Q1083,meals_BY,Q747,B_Y_type,L_Y_type,D_Y_type,B_BY_type,L_BY_type,D_BY_type,Q748,Q749,B_Y_source,Q766,Q751,Q762,Q763,Q764,Q765,Q911,Q912,Q913,L_Y_source,Q915,Q916,Q928,Q929,Q930,Q931,Q934,Q935,Q936,D_Y_source,Q938,Q939,Q951,Q952,Q953,Q954,Q957,Q958,Q959,B_BY_source,Q961,Q962,Q974,Q975,Q976,Q977,Q980,Q981,Q982,L_BY_source,Q984,Q985,Q997,Q998,Q999,Q1000,Q1003,Q1004,Q1005,D_BY_source,Q1007,Q1008,Q1020,Q1021,Q1022,Q1023,Q1031,Q1086,Q1074,Q1051,Q1052_1,Q1052_2,Q1052_3,Q1052_4,Q1087,Q1257,Q1090,Q1527,Q2,Q4,Q3,Q14,Q29,Q12,Q15_102,Q15_103,Q15_104,Q15_105,Q15_106,Q15_107,Q15_108,Q15_109,Q15_110,Q15_111,buyer,SDA
11,Doramae,0,0,1,1,1,1,80101,4,Ngaraard,NA,Chelab,1,1,6,4,2,1,NA,100,0,0,bi_monthly,rarely_never,rarely_never,rarely_never,weekly,triweekly,triweekly,daily,rarely_never,once,never,never,never,twice,thrice_plus,thrice_plus,never,never,NA,NA,NA,NA,NA,belly,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2",NA,NA,NA,1,"1,2",1,NA,NA,NA,1,"2,3",2,1,"1,2,3",3,NA,NA,can_mack,reef,reef,reef,reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,NA,1,2,NA,2,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,5,2,NA,4,15,16,12,11,24,NA,7,NA,3,1962,1,Protestant,HS,"$10,000-$29,999",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
12,Doramae,0,0,1,1,1,1,80101,4,Ngaraard,NA,Chelab,1,1,5,4,1,1,NA,100,0,0,weekly,weekly,bi_monthly,bi_monthly,rarely_never,weekly,weekly,triweekly,rarely_never,twice,twice,never,never,once,thrice_plus,thrice_plus,never,never,NA,NA,NA,NA,NA,belly,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,2,0,0,1,2,1,NA,NA,NA,NA,NA,wahoo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,NA,2,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1983,1,Protestant,4-year degree,"$10,000-$29,999",1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0
13,Doramae,0,0,0,0,1,1,80101,4,Ngaraard,NA,Chelab,1,1,6,3,3,1,NA,100,0,0,bi_monthly,rarely_never,bi_monthly,bi_monthly,triweekly,triweekly,triweekly,triweekly,rarely_never,once,never,never,never,thrice_plus,thrice_plus,thrice_plus,never,never,NA,NA,NA,NA,NA,steak,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2",NA,NA,NA,1,"1,2",NA,NA,NA,1,1,"1,2,3",3,1,"1,2,3",3,308,can_tuna,reef,can_mack,can_tuna,can_tuna,reef,NA,1,2,NA,2,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,309,NA,1,2,NA,2,NA,NA,NA,NA,308,NA,1,2,NA,2,NA,NA,NA,NA,308,NA,1,2,NA,2,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,6,NA,5,4,16,16,14,11,NA,NA,NA,NA,4,1979,1,Protestant,some college,"$5,000-$9,999",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
14,Doramae,1,1,1,1,1,1,80101,4,Ngaraard,NA,Chelab,1,1,4,3,1,1,NA,50,0,50,bi_monthly,bi_monthly,weekly,weekly,weekly,weekly,bi_monthly,triweekly,rarely_never,twice,twice,never,never,thrice_plus,thrice_plus,once,never,never,NA,NA,NA,NA,NA,belly,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,1,"1,2,3",3,1,3,1,301,reef,reef,reef,NA,NA,non_reef_near,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,NA,1,1,4,NA,NA,NA,NA,NA,5,2,NA,4,16,16,15,11,24,NA,"7,8",NA,4,1969,1,Protestant,HS,"$10,000-$29,999",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
15,Doramae,0,0,0,0,1,1,80101,4,Ngaraard,NA,Chelab,1,1,3,3,0,1,NA,100,0,0,weekly,weekly,weekly,weekly,triweekly,triweekly,bi_monthly,bi_monthly,rarely_never,thrice_plus,thrice_plus,twice,twice,once,thrice_plus,once,never,never,whole,3.5,loin,6,NA,loin,fillet,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,5,5,16,16,14,11,NA,NA,NA,NA,4,1972,1,Protestant,HS,"$5,000-$9,999",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0
16,Doramae,1,1,1,1,1,1,10301,7,Ngeremlengui,NA,Ngermetengel ,1,1,3,2,1,1,NA,100,0,0,bi_monthly,bi_monthly,bi_monthly,bi_monthly,weekly,triweekly,weekly,triweekly,rarely_never,once,once,never,never,twice,thrice_plus,once,never,never,NA,NA,NA,NA,NA,loin,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,3",NA,NA,NA,NA,"2,3",NA,NA,NA,NA,1,"2,3",2,1,2,1,NA,NA,reef,reef,NA,reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,2,1,7,NA,NA,NA,NA,NA,301,NA,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,5,2,15,15,14,11,NA,NA,NA,NA,4,1966,1,Protestant,2-year degree,"$10,000-$29,999",1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0
17,Doramae,1,1,1,1,1,1,10301,7,Ngeremlengui,NA,Ngermetengel ,1,1,5,3,2,2,1,NA,NA,NA,triweekly,triweekly,rarely_never,rarely_never,weekly,triweekly,weekly,bi_monthly,rarely_never,thrice_plus,thrice_plus,never,never,twice,thrice_plus,once,never,never,NA,NA,NA,NA,NA,don't_like,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,3",NA,NA,1,NA,2,NA,NA,NA,NA,2,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1966,1,Catholic,4-year degree,"$30,000-$49,999",1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0
18,Doramae,1,1,1,1,1,1,10301,7,Ngeremlengui,NA,Ngermetengel ,1,1,10,7,3,1,NA,100,0,0,weekly,weekly,bi_monthly,bi_monthly,weekly,triweekly,weekly,daily,rarely_never,thrice_plus,thrice_plus,never,never,thrice_plus,thrice_plus,once,never,never,NA,NA,NA,NA,NA,belly,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,1,3,1,1,"1,2",2,NA,NA,NA,reef,grouper,wahoo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,1,1,7,NA,NA,NA,NA,NA,303,NA,1,1,7,NA,NA,NA,NA,NA,310,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,5,2,15,15,12,11,NA,NA,NA,NA,4,1985,1,Protestant,4-year degree,"$30,000-$49,999",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
19,Doramae,0,0,1,1,1,1,10301,7,Ngeremlengui,NA,Ngermetengel ,1,1,5,3,2,1,NA,100,0,0,triweekly,triweekly,rarely_never,rarely_never,bi_monthly,weekly,bi_monthly,triweekly,rarely_never,thrice_plus,thrice_plus,never,never,thrice_plus,thrice_plus,once,never,never,NA,NA,NA,NA,NA,loin,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,3,1,1,3,1,NA,NA,NA,reef,NA,NA,reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,1,1,7,NA,NA,NA,NA,NA,6,NA,5,5,16,16,14,11,NA,NA,NA,NA,4,1972,1,Protestant,2-year degree,"$30,000-$49,999",1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,0
20,Doramae,0,0,0,0,1,1,10301,7,Ngeremlengui,NA,Ngermetengel ,1,1,2,2,0,2,1,NA,NA,NA,bi_monthly,rarely_never,rarely_never,rarely_never,rarely_never,triweekly,weekly,rarely_never,rarely_never,twice,twice,never,never,twice,thrice_plus,twice,never,never,NA,NA,NA,NA,NA,belly,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2",2,NA,NA,NA,2,NA,NA,NA,NA,1,3,1,2,0,0,NA,NA,NA,can_mack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1973,3,JW,some college,"$10,000-$29,999",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
21,Doramae,1,1,1,1,1,1,10301,7,Ngeremlengui,NA,Ngermetengel,1,1,7,3,4,2,1,NA,NA,NA,weekly,bi_monthly,rarely_never,rarely_never,weekly,weekly,triweekly,triweekly,rarely_never,thrice_plus,twice,never,never,thrice_plus,thrice_plus,once,never,never,NA,NA,NA,NA,NA,belly,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2",NA,NA,1,NA,2,NA,NA,NA,NA,1,"2,3",2,2,0,0,NA,NA,can_mack,can_mack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,NA,1,2,NA,2,NA,NA,NA,NA,309,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,5,16,16,14,11,23,NA,9,NA,3,1983,1,Protestant,2-year degree,"$5,000-$9,999",NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,0
22,Doramae,1,1,1,1,1,1,10302,7,Ngeremlengui,NA,Ngermetengel ,1,1,2,1,1,2,1,NA,NA,NA,triweekly,bi_monthly,rarely_never,rarely_never,triweekly,triweekly,triweekly,rarely_never,rarely_never,thrice_plus,twice,never,never,thrice_plus,thrice_plus,twice,never,never,NA,NA,NA,NA,NA,loin,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,5",1,NA,NA,NA,5,NA,NA,NA,NA,2,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1974,1,Protestant,some college,"$10,000-$29,999",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
23,Doramae,0,0,1,1,1,1,10301,7,Ngeremlengui,NA,Ngermetengel ,1,1,1,1,0,1,NA,0,0,100,weekly,weekly,rarely_never,rarely_never,rarely_never,weekly,weekly,triweekly,rarely_never,thrice_plus,thrice_plus,never,never,never,twice,once,never,never,NA,NA,NA,NA,NA,belly,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,"2,3",2,1,"2,3",2,NA,NA,reef,reef,NA,milkfish,milkfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,1,3,NA,NA,NA,NA,NA,NA,301,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,NA,2,2,NA,1,NA,NA,NA,NA,305,NA,2,2,NA,1,NA,NA,NA,NA,5,2,NA,3,16,16,14,11,25,NA,"6,8",NA,4,1955,1,Protestant,4-year degree,"$10,000-$29,999",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0
